Program,prismRes,modelCheckingTime,modelConstructionTime,terminalRealTime,terminalUserTime,terminalSysTime
whileLoops_219.pgcl,true,99.969,3.016,104.953,91.89,1.605
whileLoops_22.pgcl,false,1.337,0.418,3.12,2.713,0.163
whileLoops_220.pgcl,false,90.358,2.601,94.649,87.994,1.208
whileLoops_221.pgcl,true,91.549,2.206,95.182,91.309,0.951
whileLoops_222.pgcl,false,96.004,1.954,99.819,93.174,1.139
whileLoops_223.pgcl,true,94.434,1.916,97.987,94.251,0.998
whileLoops_224.pgcl,false,94.648,1.981,98.10900000000001,94.09899999999999,0.941
whileLoops_225.pgcl,true,94.056,2.045,97.551,92.872,1.072
whileLoops_226.pgcl,false,94.526,2.298,98.517,92.80199999999999,1.175
whileLoops_227.pgcl,true,87.638,2.255,91.78,87.39,1.029
whileLoops_228.pgcl,false,86.427,2.696,90.721,86.231,1.003
whileLoops_229.pgcl,true,87.804,2.478,91.856,88.237,0.964
whileLoops_23.pgcl,true,1.403,0.462,3.051,2.913,0.183
whileLoops_230.pgcl,false,87.947,2.661,92.35499999999999,88.56,0.989
whileLoops_231.pgcl,true,88.706,2.197,92.57900000000001,89.505,0.889
whileLoops_232.pgcl,false,88.794,2.397,92.846,89.27,0.979
whileLoops_233.pgcl,true,91.486,2.285,95.455,91.17699999999999,0.96
whileLoops_234.pgcl,false,93.733,2.204,97.63,91.654,1.144
whileLoops_235.pgcl,true,100.17,2.448,104.469,91.299,1.3
whileLoops_236.pgcl,false,109.191,2.184,113.33,94.643,1.862
whileLoops_237.pgcl,true,118.133,2.224,122.163,106.19200000000001,1.871
whileLoops_238.pgcl,false,136.56,2.224,140.876,122.022,2.156
whileLoops_239.pgcl,true,113.862,2.513,118.547,105.345,1.742
whileLoops_24.pgcl,false,2.245,0.661,5.241,2.882,0.206
whileLoops_240.pgcl,false,120.241,3.858,127.874,107.39500000000001,1.981
whileLoops_241.pgcl,true,107.525,5.409,116.101,95.575,1.683
whileLoops_242.pgcl,false,106.5,2.532,111.237,99.477,1.571
whileLoops_243.pgcl,true,121.025,2.261,125.441,111.84899999999999,1.744
whileLoops_244.pgcl,false,119.095,3.142,124.694,113.482,1.495
whileLoops_245.pgcl,true,111.059,2.524,115.62100000000001,100.735,1.711
whileLoops_246.pgcl,false,136.453,3.329,141.746,119.489,2.219
whileLoops_247.pgcl,true,128.547,2.945,133.711,115.662,1.865
whileLoops_248.pgcl,false,124.677,3.114,129.852,113.88300000000001,1.823
whileLoops_249.pgcl,true,140.432,3.156,146.322,120.095,2.434
whileLoops_25.pgcl,true,1.967,0.308,4.724,2.895,0.22
whileLoops_250.pgcl,false,134.185,3.364,140.122,113.86500000000001,2.368
whileLoops_26.pgcl,false,1.635,0.483,3.888,2.912,0.215
whileLoops_27.pgcl,true,2.186,0.512,4.178,3.221,0.215
whileLoops_28.pgcl,false,2.369,0.409,4.522,3.235,0.229
whileLoops_29.pgcl,true,2.374,0.62,5.23,3.447,0.24
whileLoops_3.pgcl,true,0.338,0.121,1.876,1.259,0.139
whileLoops_30.pgcl,false,2.471,0.611,5.124,3.559,0.228
whileLoops_31.pgcl,true,2.71,0.366,4.987,3.732,0.231
whileLoops_32.pgcl,false,2.787,0.288,4.89,3.363,0.213
whileLoops_33.pgcl,true,2.314,0.427,4.521,3.413,0.207
whileLoops_34.pgcl,false,2.228,0.676,4.555,3.824,0.196
whileLoops_35.pgcl,true,2.923,0.524,5.246,4.047,0.235
whileLoops_36.pgcl,false,4.114,0.464,6.586,4.526,0.299
whileLoops_37.pgcl,true,3.234,0.476,5.632,4.502,0.248
whileLoops_38.pgcl,false,3.819,0.543,6.169,4.589,0.26
whileLoops_39.pgcl,true,3.718,0.361,5.657,4.926,0.234
whileLoops_4.pgcl,false,0.31,0.171,2.204,1.336,0.144
whileLoops_40.pgcl,false,3.83,0.419,6.017,5.212,0.228
whileLoops_41.pgcl,true,3.288,0.633,5.314,4.828,0.216
whileLoops_42.pgcl,false,4.012,0.467,6.163,5.476,0.229
whileLoops_43.pgcl,true,3.495,0.454,5.429,4.986,0.214
whileLoops_44.pgcl,false,3.56,0.601,5.496,5.24,0.219
whileLoops_45.pgcl,true,4.391,0.502,6.275,5.734,0.281
whileLoops_46.pgcl,false,4.35,0.501,6.373,5.763,0.227
whileLoops_47.pgcl,true,4.841,0.638,6.909,6.268,0.246
whileLoops_48.pgcl,false,4.964,0.504,6.963,6.305,0.239
whileLoops_49.pgcl,true,5.027,0.475,6.899,6.478,0.232
whileLoops_5.pgcl,true,0.284,0.137,1.949,1.365,0.134
whileLoops_50.pgcl,false,4.925,0.628,6.939,6.502,0.213
whileLoops_51.pgcl,true,5.43,0.528,7.338,6.827,0.243
whileLoops_52.pgcl,false,5.706,0.414,7.715,7.049,0.238
whileLoops_53.pgcl,true,5.688,0.483,7.651,7.063,0.244
whileLoops_54.pgcl,false,5.926,0.521,8.05,7.393,0.246
whileLoops_55.pgcl,true,6.166,0.529,8.388,7.555,0.244
whileLoops_56.pgcl,false,6.717,0.604,8.792,7.679,0.268
whileLoops_57.pgcl,true,8.195,0.518,10.913,7.971,0.322
whileLoops_58.pgcl,false,9.439,0.596,11.787,9.084,0.347
whileLoops_59.pgcl,true,8.786,0.818,12.048,8.397,0.341
whileLoops_6.pgcl,false,0.481,0.22,3.145,1.498,0.162
whileLoops_60.pgcl,false,8.266,0.605,10.797,9.001,0.317
whileLoops_61.pgcl,true,7.407,0.55,9.693,8.735,0.251
whileLoops_62.pgcl,false,7.481,0.728,9.793,9.131,0.258
whileLoops_63.pgcl,true,8.231,0.453,10.271,9.247,0.274
whileLoops_64.pgcl,false,8.886,0.512,11.644,9.62,0.315
whileLoops_65.pgcl,true,10.177,0.776,13.219,10.237,0.356
whileLoops_66.pgcl,false,11.628,0.927,14.675,11.21,0.365
whileLoops_67.pgcl,true,10.538,0.837,13.282,10.271,0.356
whileLoops_68.pgcl,false,11.41,1.115,14.962,10.857,0.404
whileLoops_69.pgcl,true,12.315,0.839,14.932,11.776,0.386
whileLoops_7.pgcl,true,0.416,0.139,2.124,1.525,0.138
whileLoops_70.pgcl,false,10.711,0.746,13.039,11.078,0.351
whileLoops_71.pgcl,true,11.225,0.795,14.117,11.232,0.374
whileLoops_72.pgcl,false,12.113,0.817,15.5,11.239,0.418
whileLoops_73.pgcl,true,13.746,0.667,16.247,13.102,0.429
whileLoops_74.pgcl,false,11.369,0.603,13.601,12.062,0.338
whileLoops_75.pgcl,true,12.042,0.958,14.953,12.422,0.392
whileLoops_76.pgcl,false,12.55,0.861,14.872,12.274,0.399
whileLoops_77.pgcl,true,11.917,0.926,14.807,12.606,0.392
whileLoops_78.pgcl,false,14.119,0.799,17.249,13.236,0.383
whileLoops_79.pgcl,true,15.519,1.665,19.36,13.357,0.43
whileLoops_8.pgcl,false,0.36,0.214,2.601,1.619,0.177
whileLoops_80.pgcl,false,13.296,2.578,18.165,13.859,0.415
whileLoops_81.pgcl,true,14.91,0.97,17.701,14.312,0.471
whileLoops_82.pgcl,false,17.364,1.405,21.132,14.96,0.49
whileLoops_83.pgcl,true,14.308,0.843,17.446,14.64,0.425
whileLoops_84.pgcl,false,19.154,0.922,21.865,16.932,0.434
whileLoops_85.pgcl,true,16.606,1.772,22.5,15.485,0.497
whileLoops_86.pgcl,false,14.892,0.971,17.797,15.137,0.453
whileLoops_87.pgcl,true,16.431,0.877,19.253,15.845,0.481
whileLoops_88.pgcl,false,16.592,1.005,19.83,16.039,0.45
whileLoops_89.pgcl,true,15.398,1.2,18.599,16.168,0.396
whileLoops_9.pgcl,true,0.414,0.418,2.32,1.547,0.145
whileLoops_90.pgcl,false,16.9,1.108,19.601,16.836,0.404
whileLoops_91.pgcl,true,18.085,0.838,20.748,15.651,0.476
whileLoops_92.pgcl,false,17.182,1.019,20.483,16.808,0.423
whileLoops_93.pgcl,true,19.286,0.9,22.139,17.44,0.5
whileLoops_94.pgcl,false,17.682,1.182,20.678,18.146,0.409
whileLoops_95.pgcl,true,16.807,0.891,19.333,18.037,0.333
whileLoops_96.pgcl,false,16.575,0.834,18.713,17.89,0.322
whileLoops_97.pgcl,true,17.752,0.75,20.272,19.006,0.34
whileLoops_98.pgcl,false,17.75,0.898,20.089,19.094,0.321
whileLoops_99.pgcl,true,22.994,1.787,27.367,21.709,0.456
