Program,prismRes,modelCheckingTime,modelConstructionTime,terminalRealTime,terminalUserTime,terminalSysTime
assignments_132.pgcl,false,0.119,0.076,1.794,1.431,0.152
assignments_133.pgcl,true,0.099,0.193,1.779,1.388,0.157
assignments_134.pgcl,false,0.045,0.048,1.801,1.363,0.144
assignments_135.pgcl,true,0.116,0.068,1.97,1.433,0.156
assignments_136.pgcl,false,0.049,0.06,1.862,1.372,0.163
assignments_137.pgcl,false,0.071,0.081,2.16,1.523,0.202
assignments_138.pgcl,true,0.073,0.079,1.842,1.446,0.175
assignments_139.pgcl,false,0.147,0.071,1.912,1.546,0.186
assignments_140.pgcl,true,0.083,0.162,2.033,1.576,0.185
assignments_141.pgcl,true,0.066,0.059,1.787,1.345,0.151
assignments_142.pgcl,true,0.065,0.086,2.336,1.608,0.19
assignments_143.pgcl,false,0.184,0.082,1.914,1.62,0.191
assignments_144.pgcl,true,0.054,0.058,1.998,1.444,0.187
assignments_145.pgcl,true,0.048,0.075,1.818,1.454,0.161
assignments_146.pgcl,false,0.071,0.058,1.773,1.414,0.158
assignments_147.pgcl,true,0.046,0.047,1.805,1.335,0.15
assignments_148.pgcl,true,0.088,0.096,2.186,1.518,0.185
assignments_149.pgcl,false,0.087,0.064,1.928,1.559,0.186
assignments_150.pgcl,false,0.079,0.069,1.924,1.545,0.164
assignments_151.pgcl,false,0.053,0.055,1.752,1.337,0.139
assignments_152.pgcl,true,0.05,0.063,1.756,1.425,0.147
assignments_153.pgcl,false,0.055,0.073,1.809,1.431,0.148
assignments_154.pgcl,true,0.053,0.074,1.726,1.459,0.145
assignments_155.pgcl,true,0.042,0.072,1.828,1.489,0.152
assignments_156.pgcl,false,0.088,0.048,1.811,1.383,0.152
assignments_157.pgcl,true,0.048,0.08,2.116,1.462,0.162
assignments_158.pgcl,true,0.071,0.062,1.788,1.423,0.148
assignments_159.pgcl,false,0.079,0.084,1.771,1.458,0.155
assignments_160.pgcl,true,0.052,0.066,1.851,1.474,0.15
assignments_161.pgcl,false,0.06,0.084,1.808,1.461,0.15
assignments_162.pgcl,false,0.043,0.071,1.744,1.445,0.146
assignments_163.pgcl,false,0.068,0.06,1.781,1.426,0.153
assignments_164.pgcl,true,0.105,0.054,1.795,1.399,0.143
assignments_165.pgcl,true,0.056,0.057,1.833,1.434,0.163
assignments_166.pgcl,false,0.053,0.061,1.827,1.413,0.149
assignments_167.pgcl,false,0.047,0.076,1.818,1.376,0.145
assignments_168.pgcl,false,0.076,0.063,1.8,1.427,0.154
assignments_169.pgcl,false,0.051,0.055,1.721,1.412,0.146
assignments_170.pgcl,false,0.045,0.074,2.132,1.416,0.154
assignments_171.pgcl,false,0.06,0.061,1.767,1.379,0.143
assignments_172.pgcl,false,0.113,0.066,1.788,1.486,0.154
assignments_173.pgcl,false,0.053,0.068,1.862,1.456,0.154
assignments_174.pgcl,false,0.051,0.065,1.932,1.458,0.149
assignments_175.pgcl,true,0.072,0.056,1.859,1.457,0.15
assignments_176.pgcl,true,0.047,0.07,1.758,1.392,0.149
assignments_177.pgcl,true,0.052,0.063,1.731,1.412,0.14
assignments_178.pgcl,true,0.068,0.066,1.79,1.482,0.15
assignments_179.pgcl,true,0.056,0.055,1.771,1.377,0.14
assignments_180.pgcl,true,0.055,0.068,1.807,1.389,0.142
assignments_181.pgcl,true,0.054,0.066,1.774,1.394,0.141
assignments_182.pgcl,true,0.058,0.072,1.74,1.405,0.144
assignments_183.pgcl,true,0.061,0.065,1.788,1.39,0.146
assignments_184.pgcl,false,0.063,0.057,2.267,1.518,0.146
assignments_185.pgcl,false,0.067,0.058,1.764,1.391,0.139
assignments_186.pgcl,false,0.07,0.086,1.741,1.419,0.137
assignments_187.pgcl,false,0.055,0.066,1.772,1.426,0.151
assignments_188.pgcl,false,0.049,0.051,1.86,1.41,0.148
assignments_189.pgcl,true,0.093,0.062,1.804,1.492,0.147
assignments_190.pgcl,true,0.054,0.076,1.769,1.443,0.144
assignments_191.pgcl,false,0.058,0.093,1.747,1.484,0.152
assignments_192.pgcl,false,0.07,0.074,1.764,1.484,0.153
assignments_193.pgcl,false,0.095,0.078,1.782,1.49,0.159
assignments_194.pgcl,false,0.065,0.152,2.347,1.718,0.198
assignments_195.pgcl,false,0.077,0.086,1.826,1.627,0.172
assignments_196.pgcl,true,0.083,0.128,2.111,1.695,0.182
assignments_197.pgcl,false,0.064,0.136,1.853,1.648,0.189
assignments_198.pgcl,true,0.055,0.089,1.982,1.606,0.185
assignments_199.pgcl,false,0.077,0.112,2.373,1.664,0.183
assignments_200.pgcl,true,0.065,0.077,1.754,1.545,0.15
assignments_201.pgcl,true,0.064,0.083,1.788,1.483,0.156
assignments_202.pgcl,false,0.047,0.075,1.779,1.405,0.144
assignments_203.pgcl,false,0.089,0.078,1.847,1.498,0.152
assignments_204.pgcl,true,0.052,0.08,1.858,1.409,0.147
assignments_205.pgcl,false,0.056,0.081,1.792,1.496,0.149
assignments_206.pgcl,false,0.075,0.076,1.765,1.543,0.153
assignments_207.pgcl,true,0.07,0.09,1.746,1.424,0.147
assignments_208.pgcl,true,0.064,0.078,1.865,1.451,0.161
assignments_209.pgcl,true,0.057,0.074,1.796,1.455,0.155
assignments_210.pgcl,false,0.052,0.069,1.847,1.45,0.146
assignments_211.pgcl,false,0.072,0.073,1.8,1.493,0.152
assignments_212.pgcl,false,0.084,0.094,2.058,1.643,0.16
assignments_213.pgcl,true,0.057,0.073,1.772,1.484,0.149
assignments_214.pgcl,false,0.106,0.094,1.79,1.563,0.162
assignments_215.pgcl,true,0.083,0.089,1.757,1.533,0.137
assignments_216.pgcl,true,0.054,0.086,1.77,1.533,0.149
assignments_217.pgcl,false,0.061,0.074,1.798,1.521,0.15
assignments_218.pgcl,false,0.051,0.08,1.885,1.54,0.155
assignments_219.pgcl,false,0.055,0.069,1.759,1.534,0.15
assignments_220.pgcl,true,0.072,0.114,1.805,1.587,0.162
assignments_221.pgcl,false,0.05,0.077,1.754,1.393,0.138
assignments_222.pgcl,true,0.061,0.072,1.833,1.456,0.144
assignments_223.pgcl,true,0.057,0.084,1.835,1.49,0.149
assignments_224.pgcl,false,0.055,0.086,1.806,1.486,0.147
assignments_225.pgcl,false,0.05,0.075,1.745,1.532,0.15
assignments_226.pgcl,false,0.055,0.077,2.396,1.542,0.158
assignments_227.pgcl,true,0.136,0.093,2.241,1.711,0.194
assignments_228.pgcl,false,0.052,0.077,1.854,1.516,0.167
assignments_229.pgcl,true,0.059,0.089,1.846,1.538,0.147
assignments_230.pgcl,false,0.048,0.084,1.787,1.499,0.151
assignments_231.pgcl,false,0.064,0.085,1.791,1.567,0.154
assignments_232.pgcl,false,0.083,0.097,1.82,1.657,0.163
